,Price1,Date_time,Open,Prev_close,Day_high,Day_low,Change1
1,"1,167.15","Nov 22,2021 12:26 PM","1,188.10","1,186.60","1,196.80","1,161.60",-19.45
1,"1,167.05","Nov 22,2021 12:27 PM","1,188.10","1,186.60","1,196.80","1,161.60",-19.55
1,"1,168.40","Nov 22,2021 12:28 PM","1,188.10","1,186.60","1,196.80","1,161.60",-18.2
1,"1,171.00","Nov 22,2021 12:29 PM","1,188.10","1,186.60","1,196.80","1,161.60",-15.6
1,"1,171.40","Nov 22,2021 12:30 PM","1,188.10","1,186.60","1,196.80","1,161.60",-15.2
1,"1,171.35","Nov 22,2021 12:31 PM","1,188.10","1,186.60","1,196.80","1,161.60",-15.25
1,"1,171.80","Nov 22,2021 12:31 PM","1,188.10","1,186.60","1,196.80","1,161.60",-14.8
1,"1,171.90","Nov 22,2021 12:32 PM","1,188.10","1,186.60","1,196.80","1,161.60",-14.7
1,"1,169.65","Nov 22,2021 12:32 PM","1,188.10","1,186.60","1,196.80","1,161.60",-16.95
1,"1,169.95","Nov 22,2021 12:33 PM","1,188.10","1,186.60","1,196.80","1,161.60",-16.65
1,"1,171.70","Nov 22,2021 12:33 PM","1,188.10","1,186.60","1,196.80","1,161.60",-14.9
1,"1,172.05","Nov 22,2021 12:34 PM","1,188.10","1,186.60","1,196.80","1,161.60",-14.55
1,"1,172.45","Nov 22,2021 12:34 PM","1,188.10","1,186.60","1,196.80","1,161.60",-14.15
1,"1,172.50","Nov 22,2021 12:35 PM","1,188.10","1,186.60","1,196.80","1,161.60",-14.1
1,"1,171.00","Nov 22,2021 12:35 PM","1,188.10","1,186.60","1,196.80","1,161.60",-15.6
1,"1,171.00","Nov 22,2021 12:35 PM","1,188.10","1,186.60","1,196.80","1,161.60",-15.6
1,"1,171.00","Nov 22,2021 12:35 PM","1,188.10","1,186.60","1,196.80","1,161.60",-15.6
1,"1,171.00","Nov 22,2021 12:35 PM","1,188.10","1,186.60","1,196.80","1,161.60",-15.6
1,"1,171.00","Nov 22,2021 12:35 PM","1,188.10","1,186.60","1,196.80","1,161.60",-15.6
1,"1,171.00","Nov 22,2021 12:35 PM","1,188.10","1,186.60","1,196.80","1,161.60",-15.6
1,"1,171.00","Nov 22,2021 12:35 PM","1,188.10","1,186.60","1,196.80","1,161.60",-15.6
1,"1,171.00","Nov 22,2021 12:35 PM","1,188.10","1,186.60","1,196.80","1,161.60",-15.6
