Date,time,close,open,price,volume,valueChange,percentageChange,nifty50
23-11-2021,09:34:05,75657.6,75800,76110.35,1266,310.35,0.409432718,17357.55
23-11-2021,09:35:06,75657.6,75800,76051.95,1334,251.95,0.332387863,17341.5
23-11-2021,09:36:06,75657.6,75800,75888.45,1468,88.45,0.116688654,17331.4
23-11-2021,09:37:07,75657.6,75800,76305.15,1651,505.15,0.666424802,17359.5
23-11-2021,09:38:05,75657.6,75800,76163.75,1684,363.75,0.479881266,17365.7
23-11-2021,09:39:05,75657.6,75800,76000,1717,200,0.263852243,17354.75
23-11-2021,09:40:05,75657.6,75800,76185,1754,385,0.507915567,17359.9
23-11-2021,09:41:05,75657.6,75800,76145.7,1820,345.7,0.456068602,17370.2
23-11-2021,09:42:05,75657.6,75800,76254,1838,454,0.598944591,17365.85
23-11-2021,09:43:05,75657.6,75800,76325.25,1855,525.25,0.692941953,17384.6
23-11-2021,09:44:05,75657.6,75800,76400,1890,600,0.791556728,17402
23-11-2021,09:45:05,75657.6,75800,76500,1966,700,0.92348285,17408.55
23-11-2021,09:46:05,75657.6,75800,76334,2069,534,0.704485488,17401.7
23-11-2021,09:47:05,75657.6,75800,76525.15,2097,725.15,0.956662269,17413.25
23-11-2021,09:48:05,75657.6,75800,76594.9,2130,794.9,1.048680739,17414.95
23-11-2021,09:49:05,75657.6,75800,76520,2188,720,0.949868074,17397.5
23-11-2021,09:50:14,75657.6,75800,76520.1,2240,720.1,0.95,17397.95
23-11-2021,09:51:16,75657.6,75800,76500,2355,700,0.92348285,17392.05
23-11-2021,09:52:22,75657.6,75800,76200.85,2471,400.85,0.528825858,17372.45
23-11-2021,09:53:06,75657.6,75800,76190.05,2502,390.05,0.514577836,17359
23-11-2021,09:54:21,75657.6,75800,76400,2577,600,0.791556728,17387.4
23-11-2021,09:55:24,75657.6,75800,76434.1,2615,634.1,0.836543536,17373.45
23-11-2021,09:56:32,75657.6,75800,76375.15,2650,575.15,0.758773087,17380.8
23-11-2021,09:57:06,75657.6,75800,76500,2674,700,0.92348285,17388.8
23-11-2021,09:58:06,75657.6,75800,76497.9,2692,697.9,0.920712401,17392.55
23-11-2021,09:59:12,75657.6,75800,76535.8,2706,735.8,0.970712401,17403.25
23-11-2021,10:00:06,75657.6,75800,76535.85,2714,735.85,0.970778364,17407.95
23-11-2021,10:01:06,75657.6,75800,76684.9,2817,884.9,1.167414248,17413.4
23-11-2021,10:02:05,75657.6,75800,76698.95,2872,898.95,1.185949868,17411.1
23-11-2021,10:03:05,75657.6,75800,76645,2887,845,1.114775726,17419.95
23-11-2021,10:04:05,75657.6,75800,76620,2955,820,1.081794195,17417.25
23-11-2021,10:05:05,75657.6,75800,76598.85,2974,798.85,1.053891821,17406.75
23-11-2021,10:06:05,75657.6,75800,76515.4,3011,715.4,0.943799472,17413.2
23-11-2021,10:07:05,75657.6,75800,76510.15,3018,710.15,0.936873351,17415.2
23-11-2021,10:08:05,75657.6,75800,76505.2,3026,705.2,0.930343008,17416.3
23-11-2021,10:09:05,75657.6,75800,76566.8,3067,766.8,1.011609499,17415.4
23-11-2021,10:10:05,75657.6,75800,76504.6,3079,704.6,0.929551451,17410.35
23-11-2021,10:11:05,75657.6,75800,76450.05,3125,650.05,0.857585752,17398.6
23-11-2021,10:12:05,75657.6,75800,76404.8,3179,604.8,0.797889182,17385.7
23-11-2021,10:13:05,75657.6,75800,76339.15,3214,539.15,0.711279683,17380.4
23-11-2021,10:14:05,75657.6,75800,76339.15,3228,539.15,0.711279683,17366.1
23-11-2021,10:15:05,75657.6,75800,76200.35,3258,400.35,0.528166227,17348.55
23-11-2021,10:16:05,75657.6,75800,76262.05,3288,462.05,0.609564644,17345.1
23-11-2021,10:17:05,75657.6,75800,76299.95,3324,499.95,0.659564644,17346.45
