"","lat","lon","timezone","timezone_offset","current.dt","current.sunrise","current.sunset","current.temp","current.feels_like","current.pressure","current.humidity","current.dew_point","current.uvi","current.clouds","current.visibility","current.wind_speed","current.wind_deg","current.wind_gust","current.weather.id","current.weather.main","current.weather.description","current.weather.icon","minutely.dt","minutely.precipitation"
"94",11.25,75.78,"Asia/Kolkata",19800,1636565527,1636505481,1636547419,300.71,304.3,1008,81,297.15,0,100,10000,1.83,38,1.98,804,"Clouds","overcast clouds","04n",1636567500,0
"95",11.25,75.78,"Asia/Kolkata",19800,1636565527,1636505481,1636547419,300.71,304.3,1008,81,297.15,0,100,10000,1.83,38,1.98,804,"Clouds","overcast clouds","04n",1636567560,0
"96",11.25,75.78,"Asia/Kolkata",19800,1636565527,1636505481,1636547419,300.71,304.3,1008,81,297.15,0,100,10000,1.83,38,1.98,804,"Clouds","overcast clouds","04n",1636567620,0
"97",11.25,75.78,"Asia/Kolkata",19800,1636565527,1636505481,1636547419,300.71,304.3,1008,81,297.15,0,100,10000,1.83,38,1.98,804,"Clouds","overcast clouds","04n",1636567680,0
"98",11.25,75.78,"Asia/Kolkata",19800,1636565527,1636505481,1636547419,300.71,304.3,1008,81,297.15,0,100,10000,1.83,38,1.98,804,"Clouds","overcast clouds","04n",1636567740,0
"99",11.25,75.78,"Asia/Kolkata",19800,1636565527,1636505481,1636547419,300.71,304.3,1008,81,297.15,0,100,10000,1.83,38,1.98,804,"Clouds","overcast clouds","04n",1636567800,0
"100",11.25,75.78,"Asia/Kolkata",19800,1636565527,1636505481,1636547419,300.71,304.3,1008,81,297.15,0,100,10000,1.83,38,1.98,804,"Clouds","overcast clouds","04n",1636567860,0
"101",11.25,75.78,"Asia/Kolkata",19800,1636565527,1636505481,1636547419,300.71,304.3,1008,81,297.15,0,100,10000,1.83,38,1.98,804,"Clouds","overcast clouds","04n",1636567920,0
"102",11.25,75.78,"Asia/Kolkata",19800,1636565527,1636505481,1636547419,300.71,304.3,1008,81,297.15,0,100,10000,1.83,38,1.98,804,"Clouds","overcast clouds","04n",1636567980,0
"103",11.25,75.78,"Asia/Kolkata",19800,1636565527,1636505481,1636547419,300.71,304.3,1008,81,297.15,0,100,10000,1.83,38,1.98,804,"Clouds","overcast clouds","04n",1636568040,0
"104",11.25,75.78,"Asia/Kolkata",19800,1636565527,1636505481,1636547419,300.71,304.3,1008,81,297.15,0,100,10000,1.83,38,1.98,804,"Clouds","overcast clouds","04n",1636568100,0
"105",11.25,75.78,"Asia/Kolkata",19800,1636565527,1636505481,1636547419,300.71,304.3,1008,81,297.15,0,100,10000,1.83,38,1.98,804,"Clouds","overcast clouds","04n",1636568160,0
"106",11.25,75.78,"Asia/Kolkata",19800,1636565527,1636505481,1636547419,300.71,304.3,1008,81,297.15,0,100,10000,1.83,38,1.98,804,"Clouds","overcast clouds","04n",1636568220,0
"107",11.25,75.78,"Asia/Kolkata",19800,1636565527,1636505481,1636547419,300.71,304.3,1008,81,297.15,0,100,10000,1.83,38,1.98,804,"Clouds","overcast clouds","04n",1636568280,0
"108",11.25,75.78,"Asia/Kolkata",19800,1636565527,1636505481,1636547419,300.71,304.3,1008,81,297.15,0,100,10000,1.83,38,1.98,804,"Clouds","overcast clouds","04n",1636568340,0
"109",11.25,75.78,"Asia/Kolkata",19800,1636565527,1636505481,1636547419,300.71,304.3,1008,81,297.15,0,100,10000,1.83,38,1.98,804,"Clouds","overcast clouds","04n",1636568400,0
"110",11.25,75.78,"Asia/Kolkata",19800,1636565527,1636505481,1636547419,300.71,304.3,1008,81,297.15,0,100,10000,1.83,38,1.98,804,"Clouds","overcast clouds","04n",1636568460,0
"111",11.25,75.78,"Asia/Kolkata",19800,1636565527,1636505481,1636547419,300.71,304.3,1008,81,297.15,0,100,10000,1.83,38,1.98,804,"Clouds","overcast clouds","04n",1636568520,0
"112",11.25,75.78,"Asia/Kolkata",19800,1636565527,1636505481,1636547419,300.71,304.3,1008,81,297.15,0,100,10000,1.83,38,1.98,804,"Clouds","overcast clouds","04n",1636568580,0
"113",11.25,75.78,"Asia/Kolkata",19800,1636565527,1636505481,1636547419,300.71,304.3,1008,81,297.15,0,100,10000,1.83,38,1.98,804,"Clouds","overcast clouds","04n",1636568640,0
"114",11.25,75.78,"Asia/Kolkata",19800,1636565527,1636505481,1636547419,300.71,304.3,1008,81,297.15,0,100,10000,1.83,38,1.98,804,"Clouds","overcast clouds","04n",1636568700,0
"115",11.25,75.78,"Asia/Kolkata",19800,1636565527,1636505481,1636547419,300.71,304.3,1008,81,297.15,0,100,10000,1.83,38,1.98,804,"Clouds","overcast clouds","04n",1636568760,0
"116",11.25,75.78,"Asia/Kolkata",19800,1636565527,1636505481,1636547419,300.71,304.3,1008,81,297.15,0,100,10000,1.83,38,1.98,804,"Clouds","overcast clouds","04n",1636568820,0
"117",11.25,75.78,"Asia/Kolkata",19800,1636565527,1636505481,1636547419,300.71,304.3,1008,81,297.15,0,100,10000,1.83,38,1.98,804,"Clouds","overcast clouds","04n",1636568880,0
"118",11.25,75.78,"Asia/Kolkata",19800,1636565527,1636505481,1636547419,300.71,304.3,1008,81,297.15,0,100,10000,1.83,38,1.98,804,"Clouds","overcast clouds","04n",1636568940,0
"119",11.25,75.78,"Asia/Kolkata",19800,1636565527,1636505481,1636547419,300.71,304.3,1008,81,297.15,0,100,10000,1.83,38,1.98,804,"Clouds","overcast clouds","04n",1636569000,0
"120",11.25,75.78,"Asia/Kolkata",19800,1636565527,1636505481,1636547419,300.71,304.3,1008,81,297.15,0,100,10000,1.83,38,1.98,804,"Clouds","overcast clouds","04n",1636569060,0
"121",11.25,75.78,"Asia/Kolkata",19800,1636565527,1636505481,1636547419,300.71,304.3,1008,81,297.15,0,100,10000,1.83,38,1.98,804,"Clouds","overcast clouds","04n",1636569120,0
"122",11.25,75.78,"Asia/Kolkata",19800,1636565527,1636505481,1636547419,300.71,304.3,1008,81,297.15,0,100,10000,1.83,38,1.98,804,"Clouds","overcast clouds","04n",1636569180,0
"123",11.25,75.78,"Asia/Kolkata",19800,1636571513,1636591903,1636633812,299.71,299.71,1008,81,296.18,0,100,10000,1.49,56,1.61,804,"Clouds","overcast clouds","04n",1636571520,0
"124",11.25,75.78,"Asia/Kolkata",19800,1636571513,1636591903,1636633812,299.71,299.71,1008,81,296.18,0,100,10000,1.49,56,1.61,804,"Clouds","overcast clouds","04n",1636571580,0
"125",11.25,75.78,"Asia/Kolkata",19800,1636571513,1636591903,1636633812,299.71,299.71,1008,81,296.18,0,100,10000,1.49,56,1.61,804,"Clouds","overcast clouds","04n",1636571640,0
"126",11.25,75.78,"Asia/Kolkata",19800,1636571513,1636591903,1636633812,299.71,299.71,1008,81,296.18,0,100,10000,1.49,56,1.61,804,"Clouds","overcast clouds","04n",1636571700,0
"127",11.25,75.78,"Asia/Kolkata",19800,1636571513,1636591903,1636633812,299.71,299.71,1008,81,296.18,0,100,10000,1.49,56,1.61,804,"Clouds","overcast clouds","04n",1636571760,0
"128",11.25,75.78,"Asia/Kolkata",19800,1636571513,1636591903,1636633812,299.71,299.71,1008,81,296.18,0,100,10000,1.49,56,1.61,804,"Clouds","overcast clouds","04n",1636571820,0
"129",11.25,75.78,"Asia/Kolkata",19800,1636571513,1636591903,1636633812,299.71,299.71,1008,81,296.18,0,100,10000,1.49,56,1.61,804,"Clouds","overcast clouds","04n",1636571880,0
"130",11.25,75.78,"Asia/Kolkata",19800,1636571513,1636591903,1636633812,299.71,299.71,1008,81,296.18,0,100,10000,1.49,56,1.61,804,"Clouds","overcast clouds","04n",1636571940,0
"131",11.25,75.78,"Asia/Kolkata",19800,1636571513,1636591903,1636633812,299.71,299.71,1008,81,296.18,0,100,10000,1.49,56,1.61,804,"Clouds","overcast clouds","04n",1636572000,0
"132",11.25,75.78,"Asia/Kolkata",19800,1636571513,1636591903,1636633812,299.71,299.71,1008,81,296.18,0,100,10000,1.49,56,1.61,804,"Clouds","overcast clouds","04n",1636572060,0
"133",11.25,75.78,"Asia/Kolkata",19800,1636571513,1636591903,1636633812,299.71,299.71,1008,81,296.18,0,100,10000,1.49,56,1.61,804,"Clouds","overcast clouds","04n",1636572120,0
