temp,feels_like,temp_min,temp_max,pressure,humidity,Date and Time
298.38,299.13,297.88,298.38,1009,83,19-11-2021 14:10
298.38,299.13,297.88,298.38,1009,83,19-11-2021 14:13
298.38,299.13,297.88,298.38,1009,83,19-11-2021 14:16
298.38,299.13,297.88,298.38,1009,83,19-11-2021 14:19
298.38,299.13,297.88,298.38,1009,83,19-11-2021 14:22
298.38,299.13,297.88,298.38,1009,83,19-11-2021 14:25
299.38,299.38,298.88,299.38,1009,78,19-11-2021 14:28
299.38,299.38,298.88,299.38,1009,78,19-11-2021 14:31
299.38,299.38,298.88,299.38,1009,78,19-11-2021 14:34
299.38,299.38,298.88,299.38,1009,78,19-11-2021 14:37
299.38,299.38,298.88,299.38,1009,78,19-11-2021 14:40
299.38,299.38,298.88,299.38,1009,78,19-11-2021 14:43
298.38,299.13,298.38,298.88,1009,83,19-11-2021 14:46
298.38,299.13,298.38,298.88,1009,83,19-11-2021 14:49
298.38,299.13,298.38,298.88,1009,83,19-11-2021 14:52
298.38,299.13,298.38,298.88,1009,83,19-11-2021 14:55
298.38,299.13,298.38,298.88,1009,83,19-11-2021 14:58
298.38,299.13,298.38,298.88,1009,83,19-11-2021 15:01
298.38,299.13,298.38,298.88,1009,83,19-11-2021 15:04
298.38,299.13,298.38,298.88,1009,83,19-11-2021 15:07
298.38,299.13,298.38,298.88,1009,83,19-11-2021 15:10
298.38,299.13,298.38,298.88,1009,83,19-11-2021 15:13
298.38,299.13,298.38,298.88,1008,83,19-11-2021 15:16
298.38,299.13,298.38,298.88,1008,83,19-11-2021 15:19
298.38,299.13,298.38,298.88,1008,83,19-11-2021 15:22
298.38,299.13,298.38,298.88,1008,83,19-11-2021 15:25
298.38,299.13,298.38,298.88,1008,83,19-11-2021 15:28
298.38,299.13,298.38,298.88,1008,83,19-11-2021 15:31
298.38,299.13,298.38,298.88,1008,83,19-11-2021 15:34
298.38,299.13,298.38,298.88,1008,83,19-11-2021 15:37
298.38,299.13,298.38,298.88,1008,83,19-11-2021 15:40
298.38,299.13,298.38,298.88,1008,83,19-11-2021 15:43
298.38,299.13,298.38,298.88,1008,83,19-11-2021 15:46
298.38,299.13,298.38,298.88,1008,83,19-11-2021 15:49
297.38,298.16,297.38,298.88,1008,88,19-11-2021 15:52
297.38,298.16,297.38,298.88,1008,88,19-11-2021 15:55
297.38,298.16,297.38,298.88,1008,88,19-11-2021 15:58
297.38,298.16,297.38,298.88,1008,88,19-11-2021 16:01
297.38,298.16,297.38,298.88,1008,88,19-11-2021 16:04
297.38,298.16,297.38,298.88,1008,88,19-11-2021 16:07
297.38,298.16,297.38,298.88,1008,88,19-11-2021 16:10
297.38,298.16,297.38,298.88,1008,88,19-11-2021 16:13
297.38,298.16,297.38,298.88,1008,88,19-11-2021 16:16
297.38,298.16,297.38,298.88,1008,88,19-11-2021 16:19
297.38,298.16,297.38,297.88,1008,88,19-11-2021 16:22
297.38,298.16,297.38,297.88,1008,88,19-11-2021 16:25
297.38,298.16,297.38,297.88,1008,88,19-11-2021 16:28
297.38,298.16,297.38,297.88,1008,88,19-11-2021 16:31
297.38,298.16,297.38,297.88,1008,88,19-11-2021 16:34
297.38,298.16,297.38,297.88,1008,88,19-11-2021 16:37
297.38,298.16,297.38,297.88,1008,88,19-11-2021 16:40
297.38,298.16,297.38,297.88,1008,88,19-11-2021 16:43
297.38,298.16,297.38,297.88,1008,88,19-11-2021 16:46
297.38,298.16,297.38,297.88,1008,88,19-11-2021 16:49
297.38,298.16,297.38,297.88,1008,88,19-11-2021 16:52
297.38,298.16,297.38,297.88,1008,88,19-11-2021 16:55
297.38,298.16,297.38,297.88,1008,88,19-11-2021 16:58
297.38,298.16,297.38,297.88,1008,88,19-11-2021 17:01
297.38,298.16,297.38,297.88,1008,88,19-11-2021 17:04
297.38,298.16,297.38,297.88,1008,88,19-11-2021 17:07
297.38,298.16,297.38,297.88,1008,88,19-11-2021 17:10
297.38,298.16,297.38,297.88,1008,88,19-11-2021 17:13
297.38,298.16,297.38,297.88,1008,88,19-11-2021 17:16
297.38,298.16,297.38,297.88,1008,88,19-11-2021 17:19
297.38,298.16,297.38,297.88,1008,88,19-11-2021 17:22
297.38,298.16,297.38,297.88,1008,88,19-11-2021 17:25
297.38,298.16,297.38,297.88,1008,88,19-11-2021 17:28
297.38,298.16,297.38,297.88,1008,88,19-11-2021 17:31
297.38,298.16,297.38,297.88,1008,88,19-11-2021 17:34
297.38,298.16,297.38,297.88,1008,88,19-11-2021 17:37
297.38,298.16,297.38,297.88,1008,88,19-11-2021 17:40
297.38,298.16,297.38,297.88,1008,88,19-11-2021 17:43
297.38,298.16,297.38,297.88,1008,88,19-11-2021 17:46
297.38,298.16,297.38,297.88,1008,88,19-11-2021 17:49
296.38,297.21,296.38,297.88,1016,94,20-11-2021 18:02
296.38,297.21,296.38,297.88,1016,94,20-11-2021 18:03
296.38,297.21,296.38,297.88,1016,94,20-11-2021 18:05
297.88,299.02,297.88,297.88,1015,100,20-11-2021 18:07
297.88,299.02,297.88,297.88,1015,100,20-11-2021 18:08
297.88,299.02,297.88,297.88,1015,100,20-11-2021 18:10
297.88,299.02,297.88,297.88,1015,100,20-11-2021 18:12
297.88,299.02,297.88,297.88,1015,100,20-11-2021 18:13
296.38,297.21,296.38,298.88,1015,94,21-11-2021 19:35
296.38,297.21,296.38,298.88,1015,94,21-11-2021 19:37
296.38,297.21,296.38,298.88,1015,94,21-11-2021 19:38
296.38,297.21,296.38,298.88,1015,94,21-11-2021 19:40
296.38,297.21,296.38,297.88,1015,94,21-11-2021 19:42
296.38,297.21,296.38,297.88,1015,94,21-11-2021 19:43
296.38,297.21,296.38,297.88,1015,94,21-11-2021 19:45
296.38,297.21,296.38,297.88,1015,94,21-11-2021 19:47
296.38,297.21,296.38,297.88,1015,94,21-11-2021 19:48
296.38,297.21,296.38,297.88,1015,94,21-11-2021 19:50
296.38,297.21,296.38,297.88,1016,94,21-11-2021 19:52
296.38,297.21,296.38,297.88,1016,94,21-11-2021 19:53
296.38,297.21,296.38,297.88,1016,94,21-11-2021 19:55
296.38,297.21,296.38,297.88,1016,94,21-11-2021 19:57
296.38,297.21,296.38,297.88,1016,94,21-11-2021 19:58
296.38,297.21,296.38,297.88,1016,94,21-11-2021 20:00
296.38,297.21,296.38,297.88,1016,94,21-11-2021 20:02
296.38,297.21,296.38,297.88,1016,94,21-11-2021 20:03
296.38,297.21,296.38,297.88,1016,94,21-11-2021 20:05
296.38,297.21,296.38,297.88,1016,94,21-11-2021 20:07
296.38,297.21,296.38,297.88,1016,94,21-11-2021 20:08
296.38,297.21,296.38,297.88,1016,94,21-11-2021 20:10
296.38,297.21,296.38,297.88,1016,94,21-11-2021 20:12
296.38,297.21,296.38,297.88,1016,94,21-11-2021 20:13
296.38,297.21,296.38,297.88,1016,94,21-11-2021 20:15
296.38,297.21,296.38,297.88,1016,94,21-11-2021 20:17
296.38,297.21,296.38,297.88,1016,94,21-11-2021 20:18
296.38,297.21,296.38,297.88,1016,94,21-11-2021 20:20
296.38,297.21,296.38,297.88,1016,94,21-11-2021 20:22
296.38,297.21,296.38,297.88,1016,94,21-11-2021 20:23
296.38,297.21,296.38,297.88,1016,94,21-11-2021 20:25
296.38,297.21,296.38,297.88,1016,94,21-11-2021 20:27
