date,time,close,open,price,volume,value_change,percentage_change
2021-11-23,12:05:11,752,740.95,748,12022600,7.04999999999995,0.951481206559141
2021-11-23,12:07:12,752,740.95,748.6,12151094,7.64999999999998,1.03245833052162
2021-11-23,12:09:13,752,740.95,749.85,12293444,8.89999999999998,1.20116067211013
2021-11-23,12:11:15,752,740.95,750,12379018,9.04999999999995,1.22140495310074
2021-11-23,12:13:16,752,740.95,749.4,12423055,8.44999999999993,1.14042782913826
2021-11-23,12:15:18,752,740.95,748.7,12477840,7.75,1.04595451784871
2021-11-23,12:17:19,752,740.95,748.6,12534111,7.64999999999998,1.03245833052162
2021-11-23,12:19:21,752,740.95,748.3,12570556,7.34999999999991,0.991969768540375
2021-11-23,12:21:22,752,740.95,747.5,12613452,6.54999999999995,0.88400026992374
2021-11-23,12:23:23,752,740.95,746.1,12670252,5.14999999999998,0.695053647344622
2021-11-23,12:25:25,752,740.95,745.4,12726275,4.44999999999993,0.600580336055055
2021-11-23,12:27:26,752,740.95,746.05,12788027,5.09999999999991,0.688305553681073
2021-11-23,12:29:27,752,740.95,745.9,12811903,4.94999999999993,0.668061272690456
2021-11-23,12:31:28,752,740.95,746.85,12871752,5.89999999999998,0.796275052297723
2021-11-23,12:33:29,752,740.95,746.05,12894513,5.09999999999991,0.688305553681073
2021-11-23,12:35:31,752,740.95,745.55,12915279,4.59999999999991,0.620824617045672
2021-11-23,12:37:32,752,740.95,746.6,12997715,5.64999999999998,0.762534583980022
2021-11-23,12:39:34,752,740.95,745.7,13087572,4.75,0.641068898036305
2021-11-23,12:41:35,752,740.95,745.85,13120440,4.89999999999998,0.661313179026922
2021-11-23,12:43:36,752,740.95,745.75,13167160,4.79999999999995,0.647816991699839
2021-11-23,12:45:37,752,740.95,746.6,13241281,5.64999999999998,0.762534583980022
2021-11-23,12:47:39,752,740.95,745.6,13298951,4.64999999999998,0.627572710709221
2021-11-23,12:49:40,752,740.95,745.8,13325159,4.84999999999991,0.654565085363373
2021-11-23,12:51:41,752,740.95,746.25,13378817,5.29999999999995,0.715297928335239
2021-11-23,12:53:42,752,740.95,746.75,13425458,5.79999999999995,0.78277886497064
2021-11-23,12:55:43,752,740.95,746.55,13459833,5.59999999999991,0.755786490316473
2021-11-23,12:57:45,752,740.95,747.05,13519144,6.09999999999991,0.823267426951874
2021-11-23,12:59:46,752,740.95,747.1,13564741,6.14999999999998,0.830015520615423
2021-11-23,13:01:47,752,740.95,746.7,13593858,5.75,0.776030771307106
2021-11-23,13:03:48,752,740.95,746.45,13620676,5.5,0.742290302989405
2021-11-23,13:05:50,752,740.95,745.9,13652970,4.94999999999993,0.668061272690456
2021-11-23,13:07:51,752,740.95,745.8,13685361,4.84999999999991,0.654565085363373
2021-11-23,13:09:52,752,740.95,745,13732386,4.04999999999995,0.546595586746738
2021-11-23,13:11:53,752,740.95,745,13784964,4.04999999999995,0.546595586746738
2021-11-23,13:13:55,752,740.95,744.1,13824013,3.14999999999998,0.42512990080302
2021-11-23,13:15:56,752,740.95,744.5,13860449,3.54999999999995,0.479114650111337
2021-11-23,13:17:58,752,740.95,744.15,13914666,3.19999999999993,0.431877994466554
2021-11-23,13:19:59,752,740.95,743.75,13951021,2.79999999999995,0.377893245158237
2021-11-23,13:22:00,752,740.95,744.95,14017755,4,0.539847493083204
2021-11-23,13:24:01,752,740.95,745.8,14124910,4.84999999999991,0.654565085363373
2021-11-23,13:26:02,752,740.95,746.35,14193806,5.39999999999998,0.728794115662322
2021-11-23,13:28:04,752,740.95,746.75,14279041,5.79999999999995,0.78277886497064
2021-11-23,13:30:05,752,740.95,747.1,14335192,6.14999999999998,0.830015520615423
2021-11-23,13:32:06,752,740.95,747.75,14416593,6.79999999999995,0.917740738241441
2021-11-23,13:34:07,752,740.95,748.5,14523383,7.54999999999995,1.01896214319454
2021-11-23,13:36:09,752,740.95,748.05,14622825,7.09999999999991,0.958229300222675
2021-11-23,13:38:10,752,740.95,748.3,14739235,7.34999999999991,0.991969768540375
2021-11-23,13:40:11,752,740.95,749.75,14863471,8.79999999999995,1.18766448478304
2021-11-23,13:42:12,752,740.95,750.2,15085537,9.25,1.24839732775491
2021-11-23,13:44:14,752,740.95,748.35,15188174,7.39999999999998,0.998717862203924
2021-11-23,13:46:15,752,740.95,749.35,15278122,8.39999999999998,1.13367973547473
2021-11-23,13:48:16,752,740.95,749.9,15393482,8.94999999999993,1.20790876577366
2021-11-23,13:50:18,752,740.95,750.95,15540451,10,1.34961873270801
2021-11-23,13:52:19,752,740.95,751.6,15693807,10.65,1.43734395033403
2021-11-23,13:54:21,752,740.95,753.4,16141802,12.4499999999999,1.68027532222146
2021-11-23,13:56:22,752,740.95,752.9,16347649,11.9499999999999,1.61279438558606
2021-11-23,13:58:24,752,740.95,751.6,16548746,10.65,1.43734395033403
2021-11-23,14:00:25,752,740.95,750.15,16720371,9.19999999999993,1.24164923409136
2021-11-23,14:02:26,752,740.95,748.55,16921772,7.59999999999991,1.02571023685808
2021-11-23,14:04:27,752,740.95,749.2,17070972,8.25,1.11343545448411
2021-11-23,14:06:29,752,740.95,749.45,17160243,8.5,1.14717592280181
2021-11-23,14:08:30,752,740.95,750.75,17270472,9.79999999999995,1.32262635805384
2021-11-23,14:10:32,752,740.95,750.85,17374532,9.89999999999998,1.33612254538093
2021-11-23,14:12:33,752,740.95,752.2,17566954,11.25,1.51832107429651
2021-11-23,14:14:35,752,740.95,753.2,17662432,12.25,1.65328294756731
2021-11-23,14:16:36,752,740.95,753.3,17752868,12.3499999999999,1.66677913489438
2021-11-23,14:18:37,752,740.95,755.8,17992920,14.8499999999999,2.00418381807138
2021-11-23,14:20:39,752,740.95,756.45,18140163,15.5,2.09190903569742
2021-11-23,14:22:40,752,740.95,757.65,18292300,16.6999999999999,2.25386328362237
2021-11-23,14:24:41,752,740.95,756.35,18443440,15.4,2.07841284837033
2021-11-23,14:26:43,752,740.95,755.15,18610195,14.1999999999999,1.91645860044536
2021-11-23,14:28:44,752,740.95,753.75,18700478,12.8,1.72751197786625
2021-11-23,14:30:46,752,740.95,754.85,18871811,13.9,1.87597003846413
2021-11-23,14:32:47,752,740.95,755.05,19011581,14.0999999999999,1.90296241311828
2021-11-23,14:34:48,752,740.95,754.15,19098766,13.1999999999999,1.78149672717456
2021-11-23,14:36:50,752,740.95,754.1,19220051,13.15,1.77474863351103
2021-11-23,14:38:51,752,740.95,753.4,19293077,12.4499999999999,1.68027532222146
2021-11-23,14:40:52,752,740.95,753.85,19387533,12.9,1.74100816519333
2021-11-23,14:42:54,752,740.95,753.15,19475149,12.1999999999999,1.64653485390376
2021-11-23,14:44:55,752,740.95,752.4,19534342,11.4499999999999,1.54531344895066
2021-11-23,15:19:16,752,740.95,751.5,23179883,10.55,1.42384776300694
2021-11-23,15:21:17,752,740.95,752,23525720,11.05,1.49132869964234
2021-11-23,15:23:19,752,740.95,752.25,23918563,11.3,1.52506916796004
2021-11-23,15:25:20,752,740.95,753,24265440,12.05,1.62629057291315
2021-11-23,15:27:22,752,740.95,754.1,24654908,13.15,1.77474863351103
2021-11-23,15:29:23,752,740.95,751.95,24886682,11,1.48458060597881
2021-11-23,15:31:24,752,740.95,753,24911336,12.05,1.62629057291315
2021-11-23,15:33:26,752,740.95,751.85,12554411,10.9,1.47108441865173
