Stock_Name,Date_Time,Price,Open,Previous Close,Volume,Value (Lacs),i VWAP,Beta,High,Low
Laurus Labs,22-11-2021 13:26,482.1,485,482.05,"26,55,724.00","12,803.25",484.41,0.840.78,495.95,467.35
Laurus Labs,22-11-2021 14:09,478.7,485,482.05,"28,59,922.00","13,690.45",484.08,0.840.78,495.95,467.35
Laurus Labs,22-11-2021 14:21,478.7,485,482.05,"28,59,922.00","13,690.45",484.08,0.840.78,495.95,467.35
Laurus Labs,22-11-2021 14:28,477,485,482.05,"29,07,200.00","13,870.25",483.98,0.840.78,495.95,467.35
Laurus Labs,22-11-2021 15:04,473.8,485,482.05,"31,97,647.00","15,150.45",483.01,0.840.78,495.95,467.35
Laurus Labs,22-11-2021 15:16,474.95,485,482.05,"32,81,012.00","15,583.17",482.78,0.840.78,495.95,467.35
Laurus Labs,22-11-2021 15:26,474.95,485,482.05,"32,81,012.00","15,583.17",482.78,0.840.78,495.95,467.35
Laurus Labs,23-11-2021 09:03,471.85,485,482.05,"36,89,969.00","17,411.12",481.57,0.830.77,495.95,467.35
Laurus Labs,23-11-2021 09:16,471.85,485,482.05,"36,89,969.00","17,411.12",481.57,0.830.77,495.95,467.35
Laurus Labs,23-11-2021 09:26,471.85,485,482.05,"36,89,969.00","17,411.12",481.57,0.830.77,495.95,467.35
Laurus Labs,23-11-2021 10:23,479.6,472,471.85,"5,75,563.00","2,760.40",476.11,0.830.77,482.2,465.7
Laurus Labs,23-11-2021 10:31,479.75,472,471.85,"5,69,020.00","2,729.87",476.07,0.830.77,482.2,465.7
Laurus Labs,23-11-2021 10:59,479,472,471.85,"7,02,732.00","3,366.09",476.48,0.830.77,482.2,465.7
Laurus Labs,23-11-2021 11:09,479.65,472,471.85,"7,89,641.00","3,787.51",476.92,0.830.77,482.2,465.7
Laurus Labs,23-11-2021 11:17,480.5,472,471.85,"7,62,110.00","3,661.94",476.81,0.830.77,482.2,465.7
Laurus Labs,23-11-2021 11:26,480.7,472,471.85,"8,28,178.00","3,981.05",477.09,0.830.77,482.2,465.7
Laurus Labs,23-11-2021 12:14,488.5,472,471.85,"11,09,707.00","5,420.92",479.24,0.830.77,488.9,465.7
Laurus Labs,23-11-2021 12:25,490.65,472,471.85,"14,50,699.00","7,117.85",482.18,0.830.77,494.4,465.7
Laurus Labs,23-11-2021 12:59,488.9,472,471.85,"16,43,088.00","8,033.06",482.94,0.830.77,494.4,465.7
Laurus Labs,23-11-2021 13:10,488.9,472,471.85,"16,43,088.00","8,033.06",482.94,0.830.77,494.4,465.7
Laurus Labs,23-11-2021 13:17,488.6,472,471.85,"17,09,676.00","8,353.48",483.16,0.830.77,494.4,465.7
Laurus Labs,23-11-2021 13:26,488.6,472,471.85,"17,09,676.00","8,353.48",483.16,0.830.77,494.4,465.7
Laurus Labs,23-11-2021 14:09,488.5,472,471.85,"18,18,784.00","8,888.40",483.49,0.830.77,494.4,465.7
Laurus Labs,23-11-2021 14:21,489.85,472,471.85,"18,82,128.00","9,219.60",483.69,0.830.77,494.4,465.7
Laurus Labs,23-11-2021 14:27,489.1,472,471.85,"18,49,475.00","9,045.78",483.58,0.830.77,494.4,465.7
Laurus Labs,23-11-2021 15:04,488.6,472,471.85,"19,54,683.00","9,550.58",483.9,0.830.77,494.4,465.7
Laurus Labs,23-11-2021 15:16,486.6,472,471.85,"20,57,127.00","10,009.98",484.1,0.830.77,494.4,465.7
Laurus Labs,23-11-2021 15:26,486.6,472,471.85,"20,57,127.00","10,009.98",484.1,0.830.77,494.4,465.7
